AccountNumber,AWS Tenant,ConsolidatedPolicies,AWSIAMRoleName
3.63912E+11,dcoflexplus,"DCO_InfraDelivery_CertificatePermissions,Infra_Config_Permission,DCO_LambdaSecretsManager_EventBridge,DCO_TrustedAdvisor,DCO_InfraDelivery_NetworkEngr,
DCO_EC2AutoScaling,DCO_Infrastructure_SSM_runcommand,DCO_InfraDelivery_DMS,DCO_CloudFrontDistributions,DCO_InfraDel_CloudfrontAccess",ADFS-DeltekFlexPlus-cloud-delivery-network
3.63912E+11,dcoflexplus,"DCO_InfraDelivery_CertificatePermissions,Infra_Config_PermissionDCO_Lambda_SecretsManager_EventBridge,DCO_TrustedAdvisor,DCO_InfraDelivery_NetworkEngr,DCO_Infrastructure_TagEditor,DCO_EC2AutoScaling,DCO_Infrastructure_SSM_runcommand,DCO_InfraDelivery_DMS,DCO_CloudFrontDistributions,DCO_InfraDel_CloudfrontAccess",ADFS-DeltekFlexPlus-cloud-delivery-tools
6.45778E+11,GovWin,"Govwin_Cloudformation_Admin,DCO_Govwin_Admin,S3_Read-Write_gw-ml,DCO_SNS_SQS_Lambda,DCO_KMS_EC2,DCO_IAMCreateRole_codebuildSmartFit,DCO_EC2_Start_Stop_Instances,AWSCodeBuildAdminAccess,AWSCodeCommitFullAccess,AWSCodePipelineFullAccess",ADFS-GovWin-cloud-delivery-smb-us
6.45778E+11,GovWin,"Govwin_Cloudformation_Admin,DCO_Govwin_Admin,S3_Read-Write_gw-ml,DCO_SNS_SQS_Lambda,DCO_KMS_EC2,
DCO_IAMCreateRole_codebuild-SmartFit,DCO_EC2_Start_Stop_Instances,AWSCodeBuildAdminAccess,AWSCodeCommitFullAccess,AWSCodePipelineFullAccess",ADFS-GovWin-cloud-mgt-smb-us
6.45778E+11,GovWin,"Govwin_Cloudformation_Admin,DCO_Govwin_Admin,S3_Read-Write_gw-ml,DCO_SNS_SQS_Lambda,DCO_KMS_EC2,DCO_IAMCreateRole_codebuild-SmartFit,DCO_EC2_Start_Stop_Instances,Delete_CloudWatch_Logs,AWSCodeBuildAdminAccess,AWSCodeCommitFullAccess,AWSCodePipelineFullAccess",ADFS-GovWin-cloud-delivery-govwin
3.89813E+11,Deltek CostPoint,"DCO_Infrastructure_Reduced_Access,DCO_Infrastructure_SSM_runcommand,DCO_InfraDelivery_CertificatePermissions,DCO_Infrastructure_AdditionalAccess,Infra_Config_Permission,DCO_MarketPlace_Access,DCO_InfraDel_CloudfrontAccess,DCO_Lambda_SecretsManager_EventBridge,DCO_EC2AutoScaling,DCO_InfraDelivery_NetworkEngr",ADFS-Deltek CostPoint-cloud-delivery-network
3.89813E+11,Deltek CostPoint,"DCO_Infrastructure_Reduced_Access,DCO_Infrastructure_SSM_runcommand,DCO_InfraDelivery_CertificatePermissions,DCO_Infrastructure_AdditionalAccess,Infra_Config_Permission,DCO_InfraDel_CloudfrontAccess,DCO-InfraDelivery-ResourceAccessManager,DCO_Lambda_SecretsManager_EventBridge,DCO_EC2AutoScaling,DCO_InfraDelivery_NetworkEngr",ADFS-Deltek CostPoint-cloud-delivery-tools
3.43866E+11,DeltekDCODev,"DCO_S3BucketUpload,DCO_Infrastructure_SSM_runcommand,DCO_Ec2AutoScaling,Infra_Config_Permission,DCO_InfraDelivery_CertificatePermissions,DCO_InfraDel_CloudfrontAccess,DCO_Lambda_SecretsManager_EventBridge,DCO_Ec2AutoScalingCloudformation,DCO_InfraDelivery_NetworkEngineer,DCO_S3BucketUpload",ADFS-DeltekDCODev-cloud-delivery-network
4.63062E+11,DeltekDCO,"AWSApplicationMigrationFullAccess,DCO_Infrastructure_TagEditor,Infra_Config_Permission,DCO_InfraDelivery_NetworkEngr,DCO_EC2AutoScaling,DCO_InfraDelivery_CertificatePermissions,DCO_Lambda_SecretsManager_EventBridge,SSM-Admin,DCO_TrustedAdvisor,DCO_InfraDel_CloudfrontAccess",ADFS-DeltekDCO-cloud-delivery-network
4.63062E+11,DeltekDCO,"DCO_KMS_Management,DCO_IAMFullAccess,DCO_AdministratorAccess,EC2ConsoleConnectforWindows,DCO_S3Backup,DCO_SSAA_S3,SiteReliability_SSAA,DCO_SystemAdmin,SiteReliability_Access,InfraSRE_ELB",ADFS-DeltekDCO-cloud-sre-infra
4.63062E+11,DeltekDCO,"ComputeOptimizerReadOnlyAccess,AWSSavingsPlansFullAccess,DCO_Billing,BA-Athena-Access,SupportAccess,BillingPurchaseAccess,Cost_Explorer_RW,DCO_CostExplorer_Read,DCO_Anomaly,DCO_AmazonAthena_FullAccess",ADFS-DeltekDCO-cloud-cost-vendor-mgt
4.63062E+11,DeltekDCO,"AWSSavingsPlansFullAccess,DCO_Billing,BA-Athena-Access,BillingPurchaseAccess,Cost_Explorer_RW,DCO_CostExplorer_Read,DCO_AmazonAthena_FullAccess,DCO_Purchase_Reserve_Instances,DCO_RDS_and_ElasticSearch_Purchase,DCO_Artifact",ADFS-DeltekDCO-cloud-costoptimization-analyst
4.63062E+11,DeltekDCO,"DCO_TrustedAdvisorReports,ComputeOptimizerReadOnlyAccess,AWSSavingsPlansFullAccess,DCO_Billing,BA-Athena-Access,BillingPurchaseAccess,Cost_Explorer_RW,DCO_CostExplorer_Read,DCO_Anomaly,DCO_AmazonAthena_FullAccess",ADFS-DeltekDCO-cloud-costoptimization-admin
6.56081E+11,GovWinDev,"DCO_EC2_Start_Stop_Instances,S3_Read-Write_gw-ml,DCO_SNS_SQS_Lambda,DCO_IAMCreateRole_codebuild-SmartFit,DCO_KMS_EC2,AWSCodeBuildAdminAccess,AWSCodeCommitFullAccess,AWSCodePipelineFullAccess,KMS_S3_RW,Govwin_Delivery_CloudTrail_CloudWatch_Support",ADFS-GovWinDev-cloud-delivery-smb-us
6.56081E+11,GovWinDev,"DCO_EC2_Start_Stop_Instances,S3_Read-Write_gw-ml,DCO_SNS_SQS_Lambda,DCO_KMS_EC2,AWSCodeBuildAdminAccess,AWSCodeCommitFullAccess,AWSCodePipelineFullAccess,KMS_S3_RW,Govwin_Delivery_CloudTrail_CloudWatch_Support,AWSCodePipelineFullAccess",ADFS-GovWinDev-cloud-delivery-govwin
